record_id,organism_code,municipality,area,year,month_number,month_name,publication_date,report_end_date,flow_type,document_type,description,document_url,url_host,source_file,source_row,download_status
MU124-municipal-2026-02-ingresos,MU124,Municipalidad de La Pintana,municipal,2026,2,Febrero,2026-03-12,2026-02-28,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Ingresos al 28 de febrero del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS%2C%20FEBRERO+2026+%C3%81REA+MUNICIPAL.pdf_1776115942325/3547d423-b702-4347-bec5-7a4b4f9b715a,www.portaltransparencia.cl,TransparenciaActiva (1).csv,12,pendiente_descarga
MU124-municipal-2026-02-gastos,MU124,Municipalidad de La Pintana,municipal,2026,2,Febrero,2026-03-12,2026-02-28,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Gastos al 28 de febrero del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS%2C%20FEBRERO+2026+%C3%81REA+MUNICIPAL.pdf_1776115983646/6b67784f-04f8-4b3f-86d5-0a57a3eecb7a,www.portaltransparencia.cl,TransparenciaActiva (1).csv,13,pendiente_descarga
MU124-municipal-2026-01-gastos,MU124,Municipalidad de La Pintana,municipal,2026,1,Enero,2026-02-13,2026-01-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Gastos al 31 de enero del 2026",https://cloud.pintana.cl/index.php/s/F9iTo9KGZ2JScYH,cloud.pintana.cl,TransparenciaActiva (1).csv,14,pendiente_descarga
MU124-municipal-2026-01-ingresos,MU124,Municipalidad de La Pintana,municipal,2026,1,Enero,2026-02-13,2026-01-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Municipal, Ingresos al 31 de enero del 2026",https://cloud.pintana.cl/index.php/s/35WQNtQ2CqXWNbK,cloud.pintana.cl,TransparenciaActiva (1).csv,15,pendiente_descarga
MU124-salud-2026-07-ingresos,MU124,Municipalidad de La Pintana,salud,2026,7,Julio,2026-08-14,2026-07-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Ingresos al 31 de julio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS+JULIO+2026%2C%20%C3%81REA+SALUD.pdf/0b9d1591-dd8d-4537-8116-a8bec96ab698,www.portaltransparencia.cl,TransparenciaActiva (2).csv,2,pendiente_descarga
MU124-salud-2026-07-gastos,MU124,Municipalidad de La Pintana,salud,2026,7,Julio,2026-08-14,2026-07-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Gastos al 31 de julio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS+JULIO+2026%2C%20%C3%81REA+SALUD.pdf/30cbbfa2-2487-4a80-80e6-a9a140e7846c,www.portaltransparencia.cl,TransparenciaActiva (2).csv,3,pendiente_descarga
MU124-salud-2026-06-gastos,MU124,Municipalidad de La Pintana,salud,2026,6,Junio,2026-07-07,2026-06-30,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Gastos al 30 de junio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS+JUNIO+2026%2C%20%C3%81REA+SALUD.pdf/3f97182d-c168-4c9a-864f-a160181a77eb,www.portaltransparencia.cl,TransparenciaActiva (2).csv,4,pendiente_descarga
MU124-salud-2026-06-ingresos,MU124,Municipalidad de La Pintana,salud,2026,6,Junio,2026-07-07,2026-06-30,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Ingresos al 30 de junio del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS+JUNIO+2026%2C%20%C3%81REA+SALUD.pdf/d9acdc0e-f22f-470f-873d-494d6851fddb,www.portaltransparencia.cl,TransparenciaActiva (2).csv,5,pendiente_descarga
MU124-salud-2026-05-gastos,MU124,Municipalidad de La Pintana,salud,2026,5,Mayo,2026-06-11,2026-05-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Gastos al 31 de mayo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS+MAYO+2026%2C%20%C3%81REA+SALUD.pdf/8709ddb3-aad6-426b-99a3-40aeb3757f31,www.portaltransparencia.cl,TransparenciaActiva (2).csv,6,pendiente_descarga
MU124-salud-2026-05-ingresos,MU124,Municipalidad de La Pintana,salud,2026,5,Mayo,2026-06-11,2026-05-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Ingresos al 31 de mayo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS+MAYO+2026%2C%20%C3%81REA+SALUD.pdf/98404dab-ba50-43fc-a5ae-e1a9d5c16549,www.portaltransparencia.cl,TransparenciaActiva (2).csv,7,pendiente_descarga
MU124-salud-2026-04-gastos,MU124,Municipalidad de La Pintana,salud,2026,4,Abril,2026-05-12,2026-04-30,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Gastos al 30 de abril del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/balance+ejecuci%C3%B3n+presupuestaria+gastos+abril+2026+salud.pdf/3358f0d8-ee9c-4c3e-ad8d-b6295e854a44,www.portaltransparencia.cl,TransparenciaActiva (2).csv,8,pendiente_descarga
MU124-salud-2026-04-ingresos,MU124,Municipalidad de La Pintana,salud,2026,4,Abril,2026-05-12,2026-04-30,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Ingresos al 30 de abril del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/balance+de+ejecuci%C3%B3n+presupuestaria+de+ingresos+abril+2026+salud.pdf/9b2f5cf0-f7b1-4b1a-8d5b-97229c03ff4f,www.portaltransparencia.cl,TransparenciaActiva (2).csv,9,pendiente_descarga
MU124-salud-2026-03-gastos,MU124,Municipalidad de La Pintana,salud,2026,3,Marzo,2026-04-07,2026-03-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Gastos al 31 de marzo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS%2C%20MARZO+2026+%C3%81REA+SALUD.pdf_1778685053122/28aebc32-554a-4c4f-9a2d-6a988651d219,www.portaltransparencia.cl,TransparenciaActiva (2).csv,10,pendiente_descarga
MU124-salud-2026-03-ingresos,MU124,Municipalidad de La Pintana,salud,2026,3,Marzo,2026-04-07,2026-03-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Ingresos al 31 de marzo del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS%2C%20MARZO+2026+%C3%81REA+SALUD.pdf_1778685087970/c9369fd0-cea1-4606-9fc0-b82c36562398,www.portaltransparencia.cl,TransparenciaActiva (2).csv,11,pendiente_descarga
MU124-salud-2026-02-gastos,MU124,Municipalidad de La Pintana,salud,2026,2,Febrero,2026-03-12,2026-02-28,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Gastos al 28 de febrero del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+GASTOS%2C%20FEBRERO+2026+%C3%81REA+SALUD.pdf_1776115845779/65e350fc-e55a-4929-8414-722c9bf95e86,www.portaltransparencia.cl,TransparenciaActiva (2).csv,12,pendiente_descarga
MU124-salud-2026-02-ingresos,MU124,Municipalidad de La Pintana,salud,2026,2,Febrero,2026-03-12,2026-02-28,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Ingresos al 28 de febrero del 2026.",https://www.portaltransparencia.cl/PortalPdT/documents/10179/62801/BALANCE+EJECUCI%C3%93N+PRESUPUESTARIA+DE+INGRESOS%2C%20FEBRERO+2026+%C3%81REA+SALUD.pdf_1776115881039/25cb962e-1c69-4289-b99f-60937944223f,www.portaltransparencia.cl,TransparenciaActiva (2).csv,13,pendiente_descarga
MU124-salud-2026-01-ingresos,MU124,Municipalidad de La Pintana,salud,2026,1,Enero,2026-02-13,2026-01-31,ingresos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Ingresos al 31 de enero del 2026",https://cloud.pintana.cl/index.php/s/qqJMwTqasfMWKtM,cloud.pintana.cl,TransparenciaActiva (2).csv,14,pendiente_descarga
MU124-salud-2026-01-gastos,MU124,Municipalidad de La Pintana,salud,2026,1,Enero,2026-02-13,2026-01-31,gastos,balance_ejecucion_presupuestaria,"Balance de Ejecución Presupuestaria Salud, Gastos al 31 de enero del 2026",https://cloud.pintana.cl/index.php/s/pegQ2cDB8esSTNp,cloud.pintana.cl,TransparenciaActiva (2).csv,15,pendiente_descarga
